Feature,Importance
cat__rcount_1,0.21610226
cat__rcount_0,0.1877905
cat__rcount_2,0.16549838
cat__rcount_3,0.09014592
cat__rcount_5+,0.0720927
cat__rcount_4,0.05795664
num__psychologicaldisordermajor,0.037029024
num__hemo,0.02366417
num__irondef,0.021137042
num__substancedependence,0.015169281
num__psychother,0.011982976
num__hematocrit,0.010184439
num__bloodureanitro,0.009520334
num__asthma,0.0087712705
num__respiration,0.00829334
num__dialysisrenalendstage,0.008202566
num__pneum,0.007773939
num__malnutrition,0.0067216265
num__bmi,0.006414203
num__creatinine,0.006300951
num__sodium,0.0062628603
num__glucose,0.00614826
num__pulse,0.0060841786
num__neutrophils,0.0046209283
num__depress,0.004112812
num__fibrosisandother,0.0017212944
cat__gender_F,0.0001725526
num__secondarydiagnosisnonicd9,0.00012563684
cat__gender_M,0.0
